epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7011,1.44869,2.01927,1.61691,0.76691,0.56803,0.64766,0.27115,1.57102,2.48614,2.00681,0.000656863,0.000656863,0.000656863
2,20.8253,1.4466,1.63101,1.60601,0.6528,0.58196,0.61376,0.2577,1.81912,1.77939,2.30882,0.00131043,0.00131043,0.00131043
3,30.9565,1.47206,1.49926,1.62691,0.45935,0.4306,0.37456,0.15053,1.95448,2.13075,2.26353,0.00195079,0.00195079,0.00195079
4,41.0276,1.47589,1.40174,1.60729,0.67266,0.60884,0.65791,0.29483,1.92338,1.81799,2.26227,0.0019406,0.0019406,0.0019406
5,51.2667,1.45394,1.34588,1.5978,0.58374,0.5034,0.5129,0.18622,2.25113,1.87955,2.5914,0.0019208,0.0019208,0.0019208
6,61.4143,1.4292,1.25578,1.56875,0.53505,0.56803,0.55823,0.26231,1.67573,1.7725,1.96778,0.001901,0.001901,0.001901
7,71.4074,1.40985,1.19125,1.54366,0.76213,0.64296,0.74768,0.37593,1.76743,1.31676,2.03531,0.0018812,0.0018812,0.0018812
8,81.6107,1.38141,1.13994,1.53738,0.77268,0.7483,0.79162,0.43284,1.56131,1.21652,1.92669,0.0018614,0.0018614,0.0018614
9,91.7795,1.33888,1.09945,1.49049,0.84166,0.77891,0.84667,0.49558,1.43957,0.99848,1.72359,0.0018416,0.0018416,0.0018416
10,101.975,1.33369,1.06298,1.5003,0.85758,0.79252,0.862,0.45562,1.57141,0.98129,1.86644,0.0018218,0.0018218,0.0018218
11,112.024,1.36165,1.06973,1.50245,0.7784,0.77659,0.84553,0.47395,1.5281,1.07194,1.77853,0.001802,0.001802,0.001802
12,122.124,1.31631,1.02411,1.47356,0.86193,0.80612,0.87814,0.50266,1.45021,1.01501,1.71976,0.0017822,0.0017822,0.0017822
13,132.312,1.2974,0.99447,1.47291,0.84979,0.7449,0.8383,0.43256,1.60595,1.02729,1.83993,0.0017624,0.0017624,0.0017624
14,142.419,1.30201,0.99886,1.45087,0.82363,0.7585,0.84797,0.49637,1.4577,1.01091,1.73885,0.0017426,0.0017426,0.0017426
15,152.448,1.27167,0.98068,1.44678,0.85508,0.82313,0.87347,0.50937,1.43926,0.93081,1.69031,0.0017228,0.0017228,0.0017228
16,162.641,1.25824,0.91474,1.43594,0.86115,0.82993,0.87121,0.52696,1.37626,0.87087,1.66855,0.001703,0.001703,0.001703
17,172.819,1.26001,0.92166,1.4279,0.85098,0.7449,0.83544,0.46517,1.45101,1.05436,1.75072,0.0016832,0.0016832,0.0016832
18,182.857,1.27186,0.92285,1.44103,0.83224,0.86054,0.88184,0.50453,1.42238,0.87866,1.70123,0.0016634,0.0016634,0.0016634
19,192.952,1.21879,0.89012,1.39481,0.90137,0.83933,0.89764,0.51904,1.49467,0.87776,1.74482,0.0016436,0.0016436,0.0016436
20,203.006,1.24323,0.89509,1.41927,0.87612,0.85374,0.89998,0.56373,1.3266,0.84129,1.6305,0.0016238,0.0016238,0.0016238
21,213.154,1.23172,0.85167,1.40923,0.92915,0.83673,0.91791,0.54304,1.40733,0.83486,1.71331,0.001604,0.001604,0.001604
22,223.615,1.21433,0.86058,1.3919,0.9108,0.85714,0.92025,0.56729,1.35345,0.77002,1.61394,0.0015842,0.0015842,0.0015842
23,233.637,1.20212,0.83724,1.37875,0.86761,0.87415,0.88455,0.50177,1.48163,0.82902,1.76675,0.0015644,0.0015644,0.0015644
24,243.634,1.19993,0.82022,1.3811,0.86103,0.86402,0.90137,0.56463,1.35006,0.81062,1.62315,0.0015446,0.0015446,0.0015446
25,253.548,1.17937,0.8128,1.3782,0.89036,0.83333,0.9009,0.54726,1.39504,0.80484,1.65127,0.0015248,0.0015248,0.0015248
26,263.562,1.17886,0.79097,1.35669,0.9033,0.85789,0.88922,0.55857,1.40119,0.79572,1.65705,0.001505,0.001505,0.001505
27,273.562,1.16755,0.80032,1.36343,0.92295,0.85564,0.89471,0.56497,1.32871,0.75093,1.60312,0.0014852,0.0014852,0.0014852
28,283.547,1.16059,0.76221,1.35325,0.92403,0.86878,0.91697,0.58144,1.30423,0.69811,1.57796,0.0014654,0.0014654,0.0014654
29,293.71,1.13538,0.74214,1.33049,0.92259,0.89183,0.92552,0.58878,1.31652,0.73078,1.58455,0.0014456,0.0014456,0.0014456
30,303.755,1.14598,0.76799,1.34889,0.89346,0.85572,0.909,0.5638,1.35774,0.78782,1.61887,0.0014258,0.0014258,0.0014258
31,313.76,1.1227,0.76324,1.34436,0.89957,0.88776,0.93423,0.59014,1.35913,0.68855,1.63459,0.001406,0.001406,0.001406
32,323.908,1.11176,0.72574,1.33053,0.89843,0.87254,0.89877,0.54079,1.38398,0.76097,1.67024,0.0013862,0.0013862,0.0013862
33,333.943,1.14919,0.74316,1.34025,0.88091,0.85542,0.89604,0.56711,1.31868,0.77446,1.63182,0.0013664,0.0013664,0.0013664
34,343.972,1.13216,0.73999,1.34271,0.89615,0.88053,0.90926,0.59259,1.2539,0.71965,1.54669,0.0013466,0.0013466,0.0013466
35,354.006,1.09492,0.73903,1.31533,0.89623,0.82313,0.90479,0.57988,1.27369,0.7679,1.5453,0.0013268,0.0013268,0.0013268
36,364.068,1.09893,0.69539,1.30114,0.90976,0.89116,0.9162,0.59656,1.27076,0.69116,1.57828,0.001307,0.001307,0.001307
37,374.26,1.11073,0.70237,1.32655,0.91558,0.88539,0.9195,0.57058,1.36256,0.73599,1.61945,0.0012872,0.0012872,0.0012872
38,384.266,1.08123,0.68426,1.30702,0.9168,0.89958,0.93461,0.62122,1.24316,0.63722,1.53355,0.0012674,0.0012674,0.0012674
39,394.407,1.10453,0.69898,1.3132,0.94448,0.88095,0.93229,0.59842,1.30769,0.64363,1.59139,0.0012476,0.0012476,0.0012476
40,404.446,1.08154,0.67778,1.30113,0.89691,0.88781,0.92073,0.58068,1.31233,0.70301,1.59612,0.0012278,0.0012278,0.0012278
41,414.462,1.07121,0.6717,1.30286,0.93018,0.89456,0.93133,0.60516,1.30124,0.67371,1.57507,0.001208,0.001208,0.001208
42,424.518,1.11224,0.68848,1.31278,0.93418,0.89116,0.92584,0.57601,1.37002,0.68251,1.6218,0.0011882,0.0011882,0.0011882
